identifier,name_en,scientific_name,major_group,isscaap_group,isscaap
13578,Gag,Mycteroperca microlepis,PISCES,Miscellaneous coastal fishes,33
13576,Yellowmouth grouper,Mycteroperca interstitialis,PISCES,Miscellaneous coastal fishes,33
13581,Mottled grouper,Mycteroperca rubra,PISCES,Miscellaneous coastal fishes,33
13583,Yellowfin grouper,Mycteroperca venenosa,PISCES,Miscellaneous coastal fishes,33
2398,Goldsilk seabream,Acanthopagrus berda,PISCES,Miscellaneous coastal fishes,33
13604,Silver mylossoma,Mylossoma duriventre,PISCES,Miscellaneous freshwater fishes,13
3202,Blackhead seabream,Acanthopagrus schlegeli,PISCES,Miscellaneous coastal fishes,33
11324,Thicklip grey mullet,Chelon labrosus,PISCES,Miscellaneous coastal fishes,33
2501,Striped marlin,Tetrapturus audax,PISCES,"Tunas, bonitos, billfishes",36
13548,Mediterranean moray,Muraena helena,PISCES,Miscellaneous coastal fishes,33
13364,Antarctic armless flounder,Mancopsetta maculata,PISCES,"Flounders, halibuts, soles",31
11712,Dogtooth grenadier,Cynomacrurus piriei,PISCES,"Cods, hakes, haddocks",32
13345,Duckbill barracudina,Magnisudis atlantica,PISCES,Miscellaneous demersal fishes,34
16456,Oriental river prawn,Macrobrachium nipponense,CRUSTACEA,Freshwater crustaceans,41
3378,Monkfishes nei,Lophius spp,PISCES,Miscellaneous demersal fishes,34
3114,Atlantic moonfish,Selene setapinnis,PISCES,Miscellaneous pelagic fishes,37
2336,Monocle breams,Scolopsis spp,PISCES,Miscellaneous coastal fishes,33
3530,Horse mussels nei,Modiolus spp,MOLLUSCA,Mussels,54
3573,Freshwater molluscs nei,Mollusca,MOLLUSCA,Freshwater molluscs,51
3250,Mojarras(=Silver-biddies) nei,Gerres spp,PISCES,Miscellaneous coastal fishes,33
3574,Marine molluscs nei,Mollusca,MOLLUSCA,Miscellaneous marine molluscs,58
3379,Angler(=Monk),Lophius piscatorius,PISCES,Miscellaneous demersal fishes,34
2328,Moonfish,Mene maculata,PISCES,Miscellaneous coastal fishes,33
2215,Moras nei,Moridae,PISCES,"Cods, hakes, haddocks",32
2429,Morwongs,Nemadactylus spp,PISCES,Miscellaneous demersal fishes,34
2569,Ocean sunfish,Mola mola,PISCES,Miscellaneous pelagic fishes,37
3007,Smalleye moray cod,Muraenolepis microps,PISCES,"Cods, hakes, haddocks",32
13359,Electric catfish,Malapterurus electricus,PISCES,Miscellaneous freshwater fishes,13
2597,Greasyback shrimp,Metapenaeus ensis,CRUSTACEA,"Shrimps, prawns",45
2593,Eastern school shrimp,Metapenaeus macleayi,CRUSTACEA,"Shrimps, prawns",45
3416,Speckled shrimp,Metapenaeus monoceros,CRUSTACEA,"Shrimps, prawns",45
3089,Largemouth black bass,Micropterus salmoides,PISCES,Miscellaneous freshwater fishes,13
11617,Humpback grouper,Cromileptes altivelis,PISCES,Miscellaneous coastal fishes,33
14972,Cownose ray,Rhinoptera bonasus,PISCES,"Sharks, rays, chimaeras",38
13427,Panama hake,Merluccius angustimanus,PISCES,"Cods, hakes, haddocks",32
3006,Moray cods nei,Muraenolepis spp,PISCES,"Cods, hakes, haddocks",32
14976,Lusitanian cownose ray,Rhinoptera marginata,PISCES,"Sharks, rays, chimaeras",38
3533,Cholga mussel,Aulacomya ater,MOLLUSCA,Mussels,54
3349,Mediterranean scaldfish,Arnoglossus laterna,PISCES,"Flounders, halibuts, soles",31
2726,Marine shells nei,Ex Mollusca,MOLLUSCA,"Pearls, mother-of-pearl, shells",81
2796,"Mackerel sharks,porbeagles nei",Lamnidae,PISCES,"Sharks, rays, chimaeras",38
3531,South American rock mussel,Perna perna,MOLLUSCA,Mussels,54
3529,Mediterranean mussel,Mytilus galloprovincialis,MOLLUSCA,Mussels,54
3304,Mediterranean spearfish,Tetrapturus belone,PISCES,"Tunas, bonitos, billfishes",36
3528,River Plata mussel,Mytilus platensis,MOLLUSCA,Mussels,54
2691,Green mussel,Perna viridis,MOLLUSCA,Mussels,54
2686,Sea mussels nei,Mytilidae,MOLLUSCA,Mussels,54
13562,Spotted estuary smooth-hound,Mustelus lenticulatus,PISCES,"Sharks, rays, chimaeras",38
3627,Green laver,Monostroma nitidum,PLANTAE AQUATICAE,Green seaweeds,93
3392,Spottail mantis squillid,Squilla mantis,CRUSTACEA,Miscellaneous marine crustaceans,47
3537,Globose clam,Mactra veneriformis,MOLLUSCA,"Clams, cockles, arkshells",56
2259,Bobo mullet,Joturus pichardi,PISCES,Miscellaneous coastal fishes,33
2257,Lebranche mullet,Mugil liza,PISCES,Miscellaneous coastal fishes,33
2162,Mud carp,Cirrhinus molitorella,PISCES,"Carps, barbels and other cyprinids",11
2637,Indo-Pacific swamp crab,Scylla serrata,CRUSTACEA,"Crabs, sea-spiders",42
3495,Murex,Murex spp,MOLLUSCA,"Abalones, winkles, conchs",52
3050,Flathead grey mullet,Mugil cephalus,PISCES,Miscellaneous coastal fishes,33
2990,Morays nei,Muraenidae,PISCES,Miscellaneous coastal fishes,33
3526,Californian mussel,Mytilus californianus,MOLLUSCA,Mussels,54
2687,Korean mussel,Mytilus coruscus,MOLLUSCA,Mussels,54
2256,Mullets nei,Mugilidae,PISCES,Miscellaneous coastal fishes,33
3206,"Goatfishes, red mullets nei",Mullidae,PISCES,Miscellaneous coastal fishes,33
3539,Taquilla clams,Mulinia spp,MOLLUSCA,"Clams, cockles, arkshells",56
3207,Surmullet,Mullus surmuletus,PISCES,Miscellaneous coastal fishes,33
2688,Blue mussel,Mytilus edulis,MOLLUSCA,Mussels,54
3208,Red mullet,Mullus barbatus,PISCES,Miscellaneous coastal fishes,33
13544,Yellowstripe goatfish,Mulloidichthys flavolineatus,PISCES,Miscellaneous coastal fishes,33
2401,Surmullets(=Red mullets) nei,Mullus spp,PISCES,Miscellaneous coastal fishes,33
3532,New Zealand mussel,Perna canaliculus,MOLLUSCA,Mussels,54
3381,Shortspine African angler,Lophius vaillanti,PISCES,Miscellaneous demersal fishes,34
19058,Blackfin goosefish,Lophius gastrophysus,PISCES,Miscellaneous demersal fishes,34
2572,Devil anglerfish,Lophius vomerinus,PISCES,Miscellaneous demersal fishes,34
19221,Broadgilled hagfish,Eptatretus cirrhatus,PISCES,Miscellaneous coastal fishes,33
18779,Metanephrops lobsters nei,Metanephrops spp,CRUSTACEA,"Lobsters, spiny-rock lobsters",43
19219,Sand tilefish,Malacanthus plumieri,PISCES,Miscellaneous coastal fishes,33
19042,Weatherfish,Misgurnus fossilis,PISCES,"Carps, barbels and other cyprinids",11
18766,Argentine goatfish,Mullus argentinae,PISCES,Miscellaneous coastal fishes,33
19039,Fire eel,Mastacembelus erythrotaenia,PISCES,Miscellaneous freshwater fishes,13
13526,Humpnose big-eye bream,Monotaxis grandoculis,PISCES,Miscellaneous coastal fishes,33
16194,Harbour spidercrab,Mithrax armatus,CRUSTACEA,"Crabs, sea-spiders",42
6515,Shorthorn sculpin,Myoxocephalus scorpius,PISCES,Miscellaneous coastal fishes,33
6792,NA,Pimelodus spp,PISCES,Miscellaneous freshwater fishes,13
18545,Giant kelp,Macrocystis pyrifera,PLANTAE AQUATICAE,Brown seaweeds,91
2689,Australian mussel,Mytilus planulatus,MOLLUSCA,Mussels,54
3527,Chilean mussel,Mytilus chilensis,MOLLUSCA,Mussels,54
13620,Hagfish,Myxine glutinosa,PISCES,Miscellaneous coastal fishes,33
